"","UID","iso2","iso3","code3","FIPS","Admin2","Province_State","Country_Region","Lat","Long_","Combined_Key","confirmed","AddedConfirmed","Population","death","AddedDeath","HospitalBed"
"1",84001001,"US","USA",840,1001,"Autauga","Alabama","US",32.53952745,-86.64408227,"Autauga, Alabama, US",91,7,55869,4,0,85
"2",84001003,"US","USA",840,1003,"Baldwin","Alabama","US",30.72774991,-87.72207058,"Baldwin, Alabama, US",227,3,223234,7,1,398
"3",84001005,"US","USA",840,1005,"Barbour","Alabama","US",31.868263,-85.3871286,"Barbour, Alabama, US",67,6,24686,1,0,74
"4",84001007,"US","USA",840,1007,"Bibb","Alabama","US",32.99642064,-87.1251146,"Bibb, Alabama, US",46,0,22394,1,0,35
"5",84001009,"US","USA",840,1009,"Blount","Alabama","US",33.98210918,-86.56790593,"Blount, Alabama, US",45,0,57826,0,0,40
"6",84001011,"US","USA",840,1011,"Bullock","Alabama","US",32.10030533,-85.71265535,"Bullock, Alabama, US",26,0,10101,1,0,61
"7",84001013,"US","USA",840,1013,"Butler","Alabama","US",31.75300095,-86.68057478,"Butler, Alabama, US",224,28,19448,6,0,94
"8",84001015,"US","USA",840,1015,"Calhoun","Alabama","US",33.77483727,-85.82630386,"Calhoun, Alabama, US",126,1,113605,3,0,590
"9",84001017,"US","USA",840,1017,"Chambers","Alabama","US",32.91360079,-85.39072749,"Chambers, Alabama, US",324,5,33254,21,0,115
"10",84001019,"US","USA",840,1019,"Cherokee","Alabama","US",34.17805983,-85.60638968,"Cherokee, Alabama, US",24,0,26196,0,0,60
"11",84001021,"US","USA",840,1021,"Chilton","Alabama","US",32.85044126,-86.7173256,"Chilton, Alabama, US",69,2,44428,1,0,26
"12",84001023,"US","USA",840,1023,"Choctaw","Alabama","US",32.02227341,-88.2656443,"Choctaw, Alabama, US",69,2,12589,1,1,25
"13",84001025,"US","USA",840,1025,"Clarke","Alabama","US",31.68099859,-87.83548597,"Clarke, Alabama, US",64,1,23622,1,0,85
"14",84001027,"US","USA",840,1027,"Clay","Alabama","US",33.26984193,-85.85836077,"Clay, Alabama, US",27,0,13235,1,0,45
"15",84001029,"US","USA",840,1029,"Cleburne","Alabama","US",33.67679204,-85.52005899,"Cleburne, Alabama, US",13,0,14910,1,0,NA
"16",84001031,"US","USA",840,1031,"Coffee","Alabama","US",31.39932826,-85.98901039,"Coffee, Alabama, US",155,5,52342,1,1,131
"17",84001033,"US","USA",840,1033,"Colbert","Alabama","US",34.69847452,-87.80168544,"Colbert, Alabama, US",72,2,55241,2,0,363
"18",84001035,"US","USA",840,1035,"Conecuh","Alabama","US",31.43401703,-86.99320044,"Conecuh, Alabama, US",14,0,12067,0,0,58
"19",84001037,"US","USA",840,1037,"Coosa","Alabama","US",32.93690146,-86.24847739,"Coosa, Alabama, US",33,0,10663,1,0,NA
"20",84001039,"US","USA",840,1039,"Covington","Alabama","US",31.2477854,-86.45050893,"Covington, Alabama, US",56,1,37049,1,0,187
"21",84001041,"US","USA",840,1041,"Crenshaw","Alabama","US",31.72941803,-86.31593104,"Crenshaw, Alabama, US",46,3,13772,1,0,93
"22",84001043,"US","USA",840,1043,"Cullman","Alabama","US",34.13020303,-86.86888037,"Cullman, Alabama, US",67,2,83768,0,0,185
"23",84001045,"US","USA",840,1045,"Dale","Alabama","US",31.43037123,-85.61095742,"Dale, Alabama, US",52,7,49172,0,0,89
"24",84001047,"US","USA",840,1047,"Dallas","Alabama","US",32.32688101,-87.1086671,"Dallas, Alabama, US",124,2,37196,3,0,175
"25",84001049,"US","USA",840,1049,"DeKalb","Alabama","US",34.45946862,-85.80782906,"DeKalb, Alabama, US",167,9,71513,2,0,134
"26",84001051,"US","USA",840,1051,"Elmore","Alabama","US",32.59785413,-86.14415284,"Elmore, Alabama, US",156,4,81209,4,0,138
"27",84001053,"US","USA",840,1053,"Escambia","Alabama","US",31.1256789,-87.15918694,"Escambia, Alabama, US",38,1,36633,3,0,142
"28",84001055,"US","USA",840,1055,"Etowah","Alabama","US",34.04567266,-86.04051873,"Etowah, Alabama, US",196,3,102268,10,0,739
"29",84001057,"US","USA",840,1057,"Fayette","Alabama","US",33.72076938,-87.73886638,"Fayette, Alabama, US",9,2,16302,0,0,61
