LOCATION,IF_STATE,STATE,COMFIRMED_COMFIRMED,ADDED,DEATH,DEATH_ADDED,CONCA,GEOID,Pop,HospitalBeds,ComfirmedPerBed
Washington state,1,Washington,642,94,40,3,Washington state Washington,#N/A,#N/A,#N/A,#N/A
King,0,Washington,387,59,35,3,King Washington,53033,1931249,5433,0.07123136389
Snohomish,0,Washington,154,21,4,,Snohomish Washington,53061,713335,786,0.1959287532
Unassigned,2,Washington,39,,0,,Unassigned Washington,#N/A,#N/A,#N/A,#N/A
Pierce,0,Washington,26,7,0,,Pierce Washington,53053,795225,2408,0.01079734219
Island,0,Washington,6,,0,,Island Washington,53029,78506,76,0.07894736842
Yakima,0,Washington,4,,0,,Yakima Washington,53077,243231,528,0.007575757576
Skagit,0,Washington,4,1,0,,Skagit Washington,53057,116901,205,0.01951219512
Kitsap,0,Washington,3,,0,,Kitsap Washington,53035,251133,381,0.007874015748
Kittitas,0,Washington,3,,0,,Kittitas Washington,53037,40915,25,0.12
Clark,0,Washington,3,,0,,Clark Washington,53011,425363,580,0.005172413793
Thurston,0,Washington,3,2,0,,Thurston Washington,53067,252264,474,0.006329113924
Spokane,0,Washington,3,3,0,,Spokane Washington,53063,471221,1847,0.00162425555
Whatcom,0,Washington,2,,0,,Whatcom Washington,53073,201140,253,0.00790513834
Grant,0,Washington,2,1,1,,Grant Washington,53025,89120,186,0.01075268817
Grays Harbor,0,Washington,1,,0,,Grays Harbor Washington,53027,72797,130,0.007692307692
Columbia,0,Washington,1,,0,,Columbia Washington,53013,4078,25,0.04
Jefferson,0,Washington,1,,0,,Jefferson Washington,53031,29872,25,0.04
New York state,1,New York,613,192,2,2,New York state New York,#N/A,#N/A,#N/A,#N/A
New York,0,New York,269,115,1,1,New York New York,36061,1585873,9842,0.02733184312
Westchester,0,New York,172,14,0,,Westchester New York,36119,949113,3235,0.05316846986
Nassau,0,New York,68,17,0,,Nassau New York,36059,1339532,4181,0.01626405166
Suffolk,0,New York,33,5,0,,Suffolk New York,36103,1493350,3583,0.009210159085
Unassigned,2,New York,25,25,0,,Unassigned New York,#N/A,#N/A,#N/A,#N/A
Rockland,0,New York,10,1,1,1,Rockland New York,36087,311687,791,0.01264222503
Albany,0,New York,7,5,0,,Albany New York,36001,304204,1381,0.005068790731
Orange,0,New York,6,3,0,,Orange New York,36071,372813,902,0.006651884701
Ulster,0,New York,5,,0,,Ulster New York,36111,182493,325,0.01538461538
Dutchess,0,New York,4,1,0,,Dutchess New York,36027,297488,676,0.005917159763
Saratoga,0,New York,3,,0,,Saratoga New York,36091,219607,259,0.01158301158
Erie,0,New York,3,3,0,,Erie New York,36029,919040,2788,0.001076040172
Monroe,0,New York,2,1,0,,Monroe New York,36055,744344,2009,0.0009955201593
Delaware,0,New York,1,,0,,Delaware New York,36025,47980,67,0.01492537313
Schenectady,0,New York,1,,0,,Schenectady New York,36093,154727,538,0.001858736059
Broome,0,New York,1,,0,,Broome New York,36007,200600,742,0.001347708895
Tompkins,0,New York,1,1,0,,Tompkins New York,36109,101564,212,0.004716981132
Tioga,0,New York,1,1,0,,Tioga New York,36107,51125,0,99999999999
Herkimer,0,New York,1,,0,,Herkimer New York,36043,64519,25,0.04
California state,1,California,372,68,5,,California state California,#N/A,#N/A,#N/A,#N/A
Santa Clara,0,California,95,12,2,,Santa Clara California,06085,1781642,3831,0.02479770295
Los Angeles,0,California,53,13,1,,Los Angeles California,06037,9818605,28383,0.001867314942
San Mateo,0,California,32,12,0,,San Mateo California,06081,718451,1781,0.01796743403
Sacramento,0,California,29,12,1,,Sacramento California,06067,1418788,3500,0.008285714286
Contra Costa,0,California,29,4,0,,Contra Costa California,06013,1049025,1804,0.01607538803
San Francisco,0,California,28,5,0,,San Francisco California,06075,805235,4733,0.005915909571
Orange,0,California,14,1,0,,Orange California,06059,3010232,7902,0.001771703366
Riverside,0,California,14,2,0,,Riverside California,06065,2189641,3945,0.003548795944
Alameda,0,California,11,,0,,Alameda California,06001,1510271,3833,0.002869814767
San Diego,0,California,10,2,0,,San Diego California,06073,3095313,7623,0.001311819494
San Joaquin,0,California,8,,0,,San Joaquin California,06077,685306,1256,0.006369426752
Santa Cruz,0,California,7,,0,,Santa Cruz California,06087,262382,375,0.01866666667
Placer,0,California,7,3,1,,Placer California,06061,348432,748,0.00935828877
Solano,0,California,6,,0,,Solano California,06095,413344,749,0.008010680908
Ventura,0,California,5,,0,,Ventura California,06111,823318,1660,0.003012048193
Marin,0,California,5,2,0,,Marin California,06041,252409,458,0.01091703057
San Benito,0,California,3,,0,,San Benito California,06069,55269,181,0.01657458564
Calaveras,0,California,2,,0,,Calaveras California,06009,45578,48,0.04166666667
Yolo,0,California,2,,0,,Yolo California,06113,200849,156,0.01282051282
Tulare,0,California,2,,0,,Tulare California,06107,442179,2086,0.0009587727709
Stanislaus,0,California,2,,0,,Stanislaus California,06099,514453,1584,0.001262626263
Imperial,0,California,2,,0,,Imperial California,06025,174528,268,0.007462686567
Shasta,0,California,1,,0,,Shasta California,06089,177223,748,0.001336898396
Fresno,0,California,1,,0,,Fresno California,06019,930450,3551,0.0002816108139
Madera,0,California,1,,0,,Madera California,06039,150865,462,0.002164502165
Sonoma,0,California,1,,0,,Sonoma California,06097,483878,1956,0.0005112474438
Humboldt,0,California,1,,0,,Humboldt California,06023,134623,299,0.003344481605
Unassigned,2,California,1,,0,,Unassigned California,#N/A,#N/A,#N/A,#N/A
Massachusetts state,1,Massachusetts,138,15,0,,Massachusetts state Massachusetts,#N/A,#N/A,#N/A,#N/A
