LOCATION,IF_INCLUDE,STATE,COMFIRMED_COMFIRMED,ADDED,DEATH,DEATH_ADDED,CONCA,GEOID,Pop,HospitalBeds
New York state,1,New York,1707,738,13,3,New York state New York,#N/A,#N/A,#N/A
New York,0,New York,814,351,7,,New York New York,360000,8175133,24245
Westchester,0,New York,380,160,0,,Westchester New York,36119,949113,3235
Nassau,0,New York,140,31,1,1,Nassau New York,36059,1339532,4181
Unassigned,2,New York,128,128,0,,Unassigned New York,#N/A,#N/A,#N/A
Suffolk,0,New York,97,23,3,1,Suffolk New York,36103,1493350,3583
Albany,0,New York,25,10,0,,Albany New York,36001,304204,1381
Rockland,0,New York,22,6,1,,Rockland New York,36087,311687,791
Dutchess,0,New York,16,6,0,,Dutchess New York,36027,297488,676
Orange,0,New York,15,4,0,,Orange New York,36071,372813,902
Monroe,0,New York,14,3,1,1,Monroe New York,36055,744344,2009
Erie,0,New York,11,4,0,,Erie New York,36029,919040,2788
Saratoga,0,New York,9,4,0,,Saratoga New York,36091,219607,259
Ulster,0,New York,8,1,0,,Ulster New York,36111,182493,325
Schenectady,0,New York,5,1,0,,Schenectady New York,36093,154727,538
Tompkins,0,New York,3,1,0,,Tompkins New York,36109,101564,212
Putnam,0,New York,2,,0,,Putnam New York,36079,99710,164
Greene,0,New York,2,,0,,Greene New York,36039,49221,0
Allegany,0,New York,2,,0,,Allegany New York,36003,48946,76
Onondaga,0,New York,2,,0,,Onondaga New York,36067,467026,1672
Ontario,0,New York,1,,0,,Ontario New York,36069,107931,399
Montgomery,0,New York,1,,0,,Montgomery New York,36057,50219,130
Broome,0,New York,1,,0,,Broome New York,36007,200600,742
Herkimer,0,New York,1,,0,,Herkimer New York,36043,64519,25
Tioga,0,New York,1,,0,,Tioga New York,36107,51125,0
Clinton,0,New York,1,,0,,Clinton New York,36019,82128,300
Delaware,0,New York,1,,0,,Delaware New York,36025,47980,67
Essex,0,New York,1,1,0,,Essex New York,36031,39370,40
Oneida,0,New York,1,1,0,,Oneida New York,36065,234878,725
Sullivan,0,New York,1,1,0,,Sullivan New York,36105,77547,169
Rensselaer,0,New York,1,1,0,,Rensselaer New York,36083,159429,423
Wyoming,0,New York,1,1,0,,Wyoming New York,36121,42155,62
Washington state,1,Washington,1012,108,55,5,Washington state Washington,#N/A,#N/A,#N/A
King,0,Washington,569,50,46,3,King Washington,53033,1931249,5433
Snohomish,0,Washington,266,33,6,2,Snohomish Washington,53061,713335,786
Unassigned,2,Washington,57,,0,,Unassigned Washington,#N/A,#N/A,#N/A
Pierce,0,Washington,45,7,0,,Pierce Washington,53053,795225,2408
Island,0,Washington,14,7,0,,Island Washington,53029,78506,76
Skagit,0,Washington,9,2,0,,Skagit Washington,53057,116901,205
Grant,0,Washington,7,,1,,Grant Washington,53025,89120,186
Kitsap,0,Washington,7,,0,,Kitsap Washington,53035,251133,381
Whatcom,0,Washington,6,3,0,,Whatcom Washington,53073,201140,253
