LOCATION,IF_INCLUDE,IF_NAME_ERROR,STATE,COMFIRMED_COMFIRMED,ADDED,DEATH,DEATH_ADDED,CONCA,GEOID,Pop,HospitalBeds
category New York,1,#N/A,New York,20885,3969,158,6,category New York New York,#N/A,#N/A,#N/A
New York,0,#N/A,New York,12305,1541,99,1,New York New York,360000,8175133,24245
Westchester,0,#N/A,New York,2894,1021,0,,Westchester New York,36119,949113,3235
Nassau,0,#N/A,New York,2442,542,4,,Nassau New York,36059,1339532,4181
Suffolk,0,#N/A,New York,1458,424,13,1,Suffolk New York,36103,1493350,3583
Rockland,0,#N/A,New York,592,137,1,,Rockland New York,36087,311687,791
Orange,0,#N/A,New York,389,142,0,,Orange New York,36071,372813,902
Albany,0,#N/A,New York,127,4,0,,Albany New York,36001,304204,1381
Unassigned,2,#N/A,New York,107,84,36,2,Unassigned New York,#N/A,#N/A,#N/A
Dutchess,0,#N/A,New York,100,18,1,,Dutchess New York,36027,297488,676
Erie,0,#N/A,New York,87,31,0,,Erie New York,36029,919040,2788
Monroe,0,#N/A,New York,81,13,2,1,Monroe New York,36055,744344,2009
Onondaga,0,#N/A,New York,53,8,0,,Onondaga New York,36067,467026,1672
Saratoga,0,#N/A,New York,35,,0,,Saratoga New York,36091,219607,259
Schenectady,0,#N/A,New York,32,,0,,Schenectady New York,36093,154727,538
Putnam,0,#N/A,New York,31,,0,,Putnam New York,36079,99710,164
Rensselaer,0,#N/A,New York,20,,0,,Rensselaer New York,36083,159429,423
Ulster,0,#N/A,New York,18,,0,,Ulster New York,36111,182493,325
Columbia,0,#N/A,New York,17,,0,,Columbia New York,36021,63096,192
Tompkins,0,#N/A,New York,15,,0,,Tompkins New York,36109,101564,212
Sullivan,0,#N/A,New York,12,,0,,Sullivan New York,36105,77547,169
Niagara,0,#N/A,New York,9,,0,,Niagara New York,36063,216469,623
Steuben,0,#N/A,New York,5,1,0,,Steuben New York,36101,98990,115
Oneida,0,#N/A,New York,5,1,0,,Oneida New York,36065,234878,725
Ontario,0,#N/A,New York,4,,0,,Ontario New York,36069,107931,399
Clinton,0,#N/A,New York,4,,0,,Clinton New York,36019,82128,300
Wayne,0,#N/A,New York,3,,0,,Wayne New York,36117,93772,120
Montgomery,0,#N/A,New York,3,,0,,Montgomery New York,36057,50219,130
Herkimer,0,#N/A,New York,3,,0,,Herkimer New York,36043,64519,25
Essex,0,#N/A,New York,3,,0,,Essex New York,36031,39370,40
Broome,0,#N/A,New York,3,,1,,Broome New York,36007,200600,742
Chemung,0,#N/A,New York,2,,0,,Chemung New York,36015,88830,391
Oswego,0,#N/A,New York,2,,0,,Oswego New York,36075,122109,158
Cortland,0,#N/A,New York,2,,0,,Cortland New York,36023,49336,162
Livingston,0,#N/A,New York,2,,0,,Livingston New York,36051,65393,67
Hamilton,0,#N/A,New York,2,,0,,Hamilton New York,36041,4836,0
Chenango,0,#N/A,New York,2,,0,,Chenango New York,36017,50477,58
Allegany,0,#N/A,New York,2,,0,,Allegany New York,36003,48946,76
Greene,0,#N/A,New York,2,,0,,Greene New York,36039,49221,0
Wyoming,0,#N/A,New York,2,,1,1,Wyoming New York,36121,42155,62
Schoharie,0,#N/A,New York,1,,0,,Schoharie New York,36095,32749,40
Fulton,0,#N/A,New York,1,,0,,Fulton New York,36035,55531,74
Jefferson,0,#N/A,New York,1,,0,,Jefferson New York,36045,116229,344
Washington,0,#N/A,New York,1,,0,,Washington New York,36115,63216,0
Warren,0,#N/A,New York,1,,0,,Warren New York,36113,65707,410
Delaware,0,#N/A,New York,1,,0,,Delaware New York,36025,47980,67
Tioga,0,#N/A,New York,1,,0,,Tioga New York,36107,51125,0
Genesee,0,#N/A,New York,1,,0,,Genesee New York,36037,60079,131
Madison,0,#N/A,New York,1,1,0,,Madison New York,36053,73442,126
Otsego,0,#N/A,New York,1,1,0,,Otsego New York,36077,62259,240
category New Jersey,1,#N/A,New Jersey,2844,930,27,6,category New Jersey New Jersey,#N/A,#N/A,#N/A
