date,LOCATION,STATE,fips,COMFIRMED_COMFIRMED,DEATH,ADDED,geoid_nu,CONCA,Pop,HospitalBeds
3/30/2020,Autauga,Alabama,1001,7,0,1,1001,Autauga Alabama,54571,85
3/30/2020,Baldwin,Alabama,1003,18,0,3,1003,Baldwin Alabama,182265,398
3/30/2020,Bibb,Alabama,1007,2,0,2,1007,Bibb Alabama,22915,35
3/30/2020,Blount,Alabama,1009,5,0,0,1009,Blount Alabama,57322,40
3/30/2020,Bullock,Alabama,1011,3,0,0,1011,Bullock Alabama,10914,61
3/30/2020,Butler,Alabama,1013,1,0,0,1013,Butler Alabama,20947,94
3/30/2020,Calhoun,Alabama,1015,9,0,6,1015,Calhoun Alabama,118572,590
3/30/2020,Chambers,Alabama,1017,36,4,9,1017,Chambers Alabama,34215,115
3/30/2020,Cherokee,Alabama,1019,2,0,0,1019,Cherokee Alabama,25989,60
3/30/2020,Chilton,Alabama,1021,10,0,2,1021,Chilton Alabama,43643,26
3/30/2020,Choctaw,Alabama,1023,2,0,1,1023,Choctaw Alabama,13859,25
3/30/2020,Clay,Alabama,1027,2,0,0,1027,Clay Alabama,13932,45
3/30/2020,Cleburne,Alabama,1029,5,0,0,1029,Cleburne Alabama,14972,0
3/30/2020,Colbert,Alabama,1033,4,0,2,1033,Colbert Alabama,54428,363
3/30/2020,Coosa,Alabama,1037,4,0,1,1037,Coosa Alabama,11539,0
3/30/2020,Covington,Alabama,1039,2,0,0,1039,Covington Alabama,37765,187
3/30/2020,Crenshaw,Alabama,1041,1,0,0,1041,Crenshaw Alabama,13906,93
3/30/2020,Cullman,Alabama,1043,8,0,1,1043,Cullman Alabama,80406,185
3/30/2020,Dallas,Alabama,1047,2,0,0,1047,Dallas Alabama,43820,175
3/30/2020,DeKalb,Alabama,1049,4,0,0,1049,DeKalb Alabama,71109,134
3/30/2020,Elmore,Alabama,1051,13,0,0,1051,Elmore Alabama,79303,138
3/30/2020,Escambia,Alabama,1053,1,0,0,1053,Escambia Alabama,38319,142
3/30/2020,Etowah,Alabama,1055,6,0,0,1055,Etowah Alabama,104430,739
3/30/2020,Fayette,Alabama,1057,1,0,1,1057,Fayette Alabama,17241,61
3/30/2020,Franklin,Alabama,1059,3,0,0,1059,Franklin Alabama,31704,125
3/30/2020,Greene,Alabama,1063,3,0,0,1063,Greene Alabama,9045,20
3/30/2020,Hale,Alabama,1065,1,0,1,1065,Hale Alabama,15760,39
3/30/2020,Houston,Alabama,1069,9,0,1,1069,Houston Alabama,101547,782
3/30/2020,Jackson,Alabama,1071,7,1,2,1071,Jackson Alabama,53227,170
3/30/2020,Jefferson,Alabama,1073,257,0,11,1073,Jefferson Alabama,658466,4392
3/30/2020,Lamar,Alabama,1075,1,0,0,1075,Lamar Alabama,14564,0
3/30/2020,Lauderdale,Alabama,1077,12,1,0,1077,Lauderdale Alabama,92709,358
3/30/2020,Lawrence,Alabama,1079,3,0,0,1079,Lawrence Alabama,34339,98
3/30/2020,Lee,Alabama,1081,74,2,17,1081,Lee Alabama,140247,314
