date,LOCATION,STATE,fips,COMFIRMED_COMFIRMED,DEATH,ADDED,geoid,CONCA,Pop,HospitalBeds
2020-03-31,Autauga,Alabama,1001,7,0,0,1001,Autauga Alabama,54571,85
2020-03-31,Baldwin,Alabama,1003,19,0,1,1003,Baldwin Alabama,182265,398
2020-03-31,Bibb,Alabama,1007,3,0,1,1007,Bibb Alabama,22915,35
2020-03-31,Blount,Alabama,1009,5,0,0,1009,Blount Alabama,57322,40
2020-03-31,Bullock,Alabama,1011,3,0,0,1011,Bullock Alabama,10914,61
2020-03-31,Butler,Alabama,1013,1,0,0,1013,Butler Alabama,20947,94
2020-03-31,Calhoun,Alabama,1015,9,0,0,1015,Calhoun Alabama,118572,590
2020-03-31,Chambers,Alabama,1017,36,3,0,1017,Chambers Alabama,34215,115
2020-03-31,Cherokee,Alabama,1019,2,0,0,1019,Cherokee Alabama,25989,60
2020-03-31,Chilton,Alabama,1021,11,0,1,1021,Chilton Alabama,43643,26
2020-03-31,Choctaw,Alabama,1023,3,0,1,1023,Choctaw Alabama,13859,25
2020-03-31,Clay,Alabama,1027,2,0,0,1027,Clay Alabama,13932,45
2020-03-31,Cleburne,Alabama,1029,5,0,0,1029,Cleburne Alabama,14972,0
2020-03-31,Colbert,Alabama,1033,4,0,0,1033,Colbert Alabama,54428,363
2020-03-31,Coosa,Alabama,1037,4,0,0,1037,Coosa Alabama,11539,0
2020-03-31,Covington,Alabama,1039,2,0,0,1039,Covington Alabama,37765,187
2020-03-31,Crenshaw,Alabama,1041,1,0,0,1041,Crenshaw Alabama,13906,93
2020-03-31,Cullman,Alabama,1043,8,0,0,1043,Cullman Alabama,80406,185
2020-03-31,Dallas,Alabama,1047,2,0,0,1047,Dallas Alabama,43820,175
2020-03-31,DeKalb,Alabama,1049,4,0,0,1049,DeKalb Alabama,71109,134
2020-03-31,Elmore,Alabama,1051,12,0,-1,1051,Elmore Alabama,79303,138
2020-03-31,Escambia,Alabama,1053,1,0,0,1053,Escambia Alabama,38319,142
2020-03-31,Etowah,Alabama,1055,8,0,2,1055,Etowah Alabama,104430,739
2020-03-31,Fayette,Alabama,1057,1,0,0,1057,Fayette Alabama,17241,61
2020-03-31,Franklin,Alabama,1059,3,0,0,1059,Franklin Alabama,31704,125
2020-03-31,Greene,Alabama,1063,3,0,0,1063,Greene Alabama,9045,20
2020-03-31,Hale,Alabama,1065,1,0,0,1065,Hale Alabama,15760,39
2020-03-31,Houston,Alabama,1069,8,0,-1,1069,Houston Alabama,101547,782
2020-03-31,Jackson,Alabama,1071,8,1,1,1071,Jackson Alabama,53227,170
2020-03-31,Jefferson,Alabama,1073,282,0,25,1073,Jefferson Alabama,658466,4392
2020-03-31,Lamar,Alabama,1075,1,0,0,1075,Lamar Alabama,14564,0
2020-03-31,Lauderdale,Alabama,1077,12,1,0,1077,Lauderdale Alabama,92709,358
2020-03-31,Lawrence,Alabama,1079,3,0,0,1079,Lawrence Alabama,34339,98
2020-03-31,Lee,Alabama,1081,75,2,1,1081,Lee Alabama,140247,314
2020-03-31,Limestone,Alabama,1083,22,0,2,1083,Limestone Alabama,82782,102
2020-03-31,Lowndes,Alabama,1085,1,0,0,1085,Lowndes Alabama,11299,0
2020-03-31,Macon,Alabama,1087,1,0,0,1087,Macon Alabama,21452,0
2020-03-31,Madison,Alabama,1089,100,1,4,1089,Madison Alabama,334811,1178
2020-03-31,Marengo,Alabama,1091,4,0,0,1091,Marengo Alabama,21027,99
2020-03-31,Marion,Alabama,1093,9,0,0,1093,Marion Alabama,30776,120
2020-03-31,Marshall,Alabama,1095,6,0,-1,1095,Marshall Alabama,93019,240
2020-03-31,Mobile,Alabama,1097,53,1,8,1097,Mobile Alabama,412992,1929
2020-03-31,Monroe,Alabama,1099,1,0,0,1099,Monroe Alabama,23068,94
2020-03-31,Montgomery,Alabama,1101,31,1,2,1101,Montgomery Alabama,229363,1143
2020-03-31,Morgan,Alabama,1103,20,0,1,1103,Morgan Alabama,119490,402
2020-03-31,Pickens,Alabama,1107,4,0,1,1107,Pickens Alabama,19746,56
2020-03-31,Pike,Alabama,1109,4,0,0,1109,Pike Alabama,32899,97
2020-03-31,Randolph,Alabama,1111,2,0,0,1111,Randolph Alabama,22913,34
2020-03-31,Russell,Alabama,1113,1,0,0,1113,Russell Alabama,52947,118
2020-03-31,Shelby,Alabama,1117,86,2,-2,1117,Shelby Alabama,195085,349
2020-03-31,St. Clair,Alabama,1115,15,0,1,1115,St. Clair Alabama,83593,40
2020-03-31,Sumter,Alabama,1119,1,0,0,1119,Sumter Alabama,13763,33
