LOCATION,STATE,FILTER,fips,COMFIRMED_COMFIRMED,DEATH,ADDED,RECOVERED,geoid,CONCA,Pop,HospitalBeds
Abbeville,South Carolina,,45001,5,0,0,0,45001,Abbeville South Carolina,25417,25
Acadia,Louisiana,,22001,86,2,4,0,22001,Acadia Louisiana,61773,41
Accomack,Virginia,,51001,11,0,0,0,51001,Accomack Virginia,33164,0
Ada,Idaho,,16001,438,3,19,0,16001,Ada Idaho,392365,1354
Adair,Iowa,,19001,1,0,0,0,19001,Adair Iowa,7682,25
Adair,Kentucky,,21001,3,0,0,0,21001,Adair Kentucky,18656,77
Adair,Missouri,,29001,11,0,0,0,29001,Adair Missouri,25607,93
Adair,Oklahoma,,40001,25,2,0,0,40001,Adair Oklahoma,22683,67
Adams,Colorado,,8001,417,14,29,0,8001,Adams Colorado,441603,800
Adams,Idaho,,16003,1,0,0,0,16003,Adams Idaho,3976,0
Adams,Illinois,,17001,1,0,-7,0,17001,Adams Illinois,67103,335
Adams,Indiana,,18001,2,0,0,0,18001,Adams Indiana,34387,35
Adams,Mississippi,,28001,25,0,1,0,28001,Adams Mississippi,32297,179
Adams,Nebraska,,31001,27,0,12,0,31001,Adams Nebraska,31364,161
Adams,Ohio,,39001,2,0,0,0,39001,Adams Ohio,28550,25
Adams,Pennsylvania,,42001,33,0,5,0,42001,Adams Pennsylvania,101407,76
Adams,Washington,,53001,29,0,2,0,53001,Adams Washington,18728,57
Adams,Wisconsin,,55001,2,0,0,0,55001,Adams Wisconsin,20875,25
Addison,Vermont,,50001,47,0,0,0,50001,Addison Vermont,36821,25
Aiken,South Carolina,,45003,28,1,0,0,45003,Aiken South Carolina,160099,245
Alachua,Florida,,12001,144,0,5,0,12001,Alachua Florida,247336,1765
Alamance,North Carolina,,37001,30,0,6,0,37001,Alamance North Carolina,151131,238
Alameda,California,,6001,674,16,40,0,6001,Alameda California,1510271,3833
Alamosa,Colorado,,8003,5,0,1,0,8003,Alamosa Colorado,15445,44
Albany,New York,,36001,342,9,9,0,36001,Albany New York,304204,1381
Albany,Wyoming,,56001,4,0,0,0,56001,Albany Wyoming,36299,99
Albemarle,Virginia,,51003,41,0,3,0,51003,Albemarle Virginia,98970,266
Alcorn,Mississippi,,28003,6,0,0,0,28003,Alcorn Mississippi,37057,200
Alexander,North Carolina,,37003,2,0,0,0,37003,Alexander North Carolina,37198,0
Alexandria,Virginia,,51510,143,1,17,0,51510,Alexandria Virginia,139966,318
Allamakee,Iowa,,19005,19,1,2,0,19005,Allamakee Iowa,14330,25
Allegan,Michigan,,26005,18,0,0,0,26005,Allegan Michigan,111408,68
Allegany,Maryland,,24001,6,0,-1,0,24001,Allegany Maryland,75087,451
Allegany,New York,,36003,21,1,4,0,36003,Allegany New York,48946,76
Alleghany,North Carolina,,37005,2,0,0,0,37005,Alleghany North Carolina,11155,41
Alleghany,Virginia,,51005,2,0,0,0,51005,Alleghany Virginia,16250,205
Allegheny,Pennsylvania,,42003,720,10,31,0,42003,Allegheny Pennsylvania,1223348,7616
Allen,Indiana,,18003,95,7,5,0,18003,Allen Indiana,355329,1502
Allen,Kentucky,,21003,2,0,0,0,21003,Allen Kentucky,19956,25
Allen,Louisiana,,22003,65,5,7,0,22003,Allen Louisiana,25764,76
Allen,Ohio,,39003,23,1,1,0,39003,Allen Ohio,106331,830
Allendale,South Carolina,,45005,2,0,0,0,45005,Allendale South Carolina,10419,25
Alpine,California,,6003,1,0,0,0,6003,Alpine California,1175,0
Amador,California,,6005,3,0,0,0,6005,Amador California,38091,52
Amelia,Virginia,,51007,8,0,1,0,51007,Amelia Virginia,12690,0
Amherst,Virginia,,51009,8,0,0,0,51009,Amherst Virginia,32353,0
Amite,Mississippi,,28005,7,1,0,0,28005,Amite Mississippi,13131,25
Anchorage,Alaska,,2020,103,4,5,0,2020,Anchorage Alaska,291826,988
Anderson,Kansas,,20003,0,0,0,0,20003,Anderson Kansas,8102,41
Anderson,Kentucky,,21005,3,1,0,0,21005,Anderson Kentucky,21421,0
Anderson,South Carolina,,45007,75,4,0,0,45007,Anderson South Carolina,187126,755
Anderson,Tennessee,,47001,11,1,0,0,47001,Anderson Tennessee,75129,301
Anderson,Texas,,48001,2,0,0,0,48001,Anderson Texas,58458,156
Andrews,Texas,,48003,10,0,0,0,48003,Andrews Texas,14786,34
Androscoggin,Maine,,23001,23,0,0,0,23001,Androscoggin Maine,107702,483
Angelina,Texas,,48005,14,0,0,0,48005,Angelina Texas,86771,470
Anne Arundel,Maryland,,24003,466,12,96,0,24003,Anne Arundel Maryland,537656,673
Anoka,Minnesota,,27003,46,0,4,0,27003,Anoka Minnesota,330844,546
Anson,North Carolina,,37007,6,0,1,0,37007,Anson North Carolina,26948,15
Antelope,Nebraska,,31003,1,0,0,0,31003,Antelope Nebraska,6685,25
Antrim,Michigan,,26009,6,0,0,0,26009,Antrim Michigan,23580,0
Apache,Arizona,,4001,78,0,13,0,4001,Apache Arizona,71518,45
Appanoose,Iowa,,19007,1,1,0,0,19007,Appanoose Iowa,12887,45
Appling,Georgia,,13001,6,0,0,0,13001,Appling Georgia,18236,49
Appomattox,Virginia,,51011,3,0,0,0,51011,Appomattox Virginia,14973,0
Aransas,Texas,,48007,2,0,0,0,48007,Aransas Texas,23158,0
