LOCATION,IF_INCLUDE,STATE,COMFIRMED_COMFIRMED,ADDED,DEATH,DEATH_ADDED,CONCA,GEOID,Pop,HospitalBeds,ComfirmedPerBed
Washington state,1,Washington,769,127,42,2,Washington state Washington,#N/A,#N/A,#N/A,#N/A
King,0,Washington,420,32,37,2,King Washington,53033,1931249,5433,0.07730535616
Snohomish,0,Washington,176,22,4,,Snohomish Washington,53061,713335,786,0.2239185751
Unassigned,2,Washington,104,66,0,,Unassigned Washington,#N/A,#N/A,#N/A,#N/A
Pierce,0,Washington,29,3,0,,Pierce Washington,53053,795225,2408,0.01204318937
Island,0,Washington,6,,0,,Island Washington,53029,78506,76,0.07894736842
Skagit,0,Washington,4,,0,,Skagit Washington,53057,116901,205,0.01951219512
Yakima,0,Washington,4,,0,,Yakima Washington,53077,243231,528,0.007575757576
Kitsap,0,Washington,3,,0,,Kitsap Washington,53035,251133,381,0.007874015748
Spokane,0,Washington,3,,0,,Spokane Washington,53063,471221,1847,0.00162425555
Jefferson,0,Washington,3,2,0,,Jefferson Washington,53031,29872,25,0.12
Whatcom,0,Washington,3,1,0,,Whatcom Washington,53073,201140,253,0.01185770751
Thurston,0,Washington,3,,0,,Thurston Washington,53067,252264,474,0.006329113924
Clark,0,Washington,3,,0,,Clark Washington,53011,425363,580,0.005172413793
Kittitas,0,Washington,3,,0,,Kittitas Washington,53037,40915,25,0.12
Grant,0,Washington,2,,1,,Grant Washington,53025,89120,186,0.01075268817
Columbia,0,Washington,1,,0,,Columbia Washington,53013,4078,25,0.04
Grays Harbor,0,Washington,1,,0,,Grays Harbor Washington,53027,72797,130,0.007692307692
Lincoln,0,Washington,1,1,0,,Lincoln Washington,53043,10570,85,0.01176470588
New York state,1,New York,744,129,6,4,New York state New York,#N/A,#N/A,#N/A,#N/A
New York,0,New York,329,60,5,4,New York New York,360000,8175133,24245,0.01356980821
Westchester,0,New York,196,18,0,,Westchester New York,36119,949113,3235,0.06058732612
Nassau,0,New York,98,19,0,,Nassau New York,36059,1339532,4181,0.02343936857
