LOCATION,IF_INCLUDE,STATE,COMFIRMED_COMFIRMED,ADDED,DEATH,DEATH_ADDED,CONCA,GEOID,Pop,HospitalBeds
New York state,1,New York,3074,1389,20,4,New York state New York,#N/A,#N/A,#N/A
New York,0,New York,1871,948,11,1,New York New York,360000,8175133,24245
Westchester,0,New York,538,158,0,,Westchester New York,36119,949113,3235
Nassau,0,New York,278,142,1,,Nassau New York,36059,1339532,4181
Suffolk,0,New York,152,55,3,,Suffolk New York,36103,1493350,3583
Albany,0,New York,36,11,0,,Albany New York,36001,304204,1381
Orange,0,New York,32,17,0,,Orange New York,36071,372813,902
Rockland,0,New York,31,9,1,,Rockland New York,36087,311687,791
Dutchess,0,New York,20,4,0,,Dutchess New York,36027,297488,676
Erie,0,New York,20,9,0,,Erie New York,36029,919040,2788
Monroe,0,New York,19,5,1,,Monroe New York,36055,744344,2009
Saratoga,0,New York,14,5,0,,Saratoga New York,36091,219607,259
Schenectady,0,New York,14,9,0,,Schenectady New York,36093,154727,538
Ulster,0,New York,9,1,0,,Ulster New York,36111,182493,325
Onondaga,0,New York,6,4,0,,Onondaga New York,36067,467026,1672
Tompkins,0,New York,6,3,0,,Tompkins New York,36109,101564,212
Rensselaer,0,New York,4,3,0,,Rensselaer New York,36083,159429,423
Allegany,0,New York,2,,0,,Allegany New York,36003,48946,76
Oneida,0,New York,2,1,0,,Oneida New York,36065,234878,725
Putnam,0,New York,2,,0,,Putnam New York,36079,99710,164
Greene,0,New York,2,,0,,Greene New York,36039,49221,0
Montgomery,0,New York,2,1,0,,Montgomery New York,36057,50219,130
Delaware,0,New York,1,,0,,Delaware New York,36025,47980,67
Tioga,0,New York,1,,0,,Tioga New York,36107,51125,0
Ontario,0,New York,1,,0,,Ontario New York,36069,107931,399
Clinton,0,New York,1,,0,,Clinton New York,36019,82128,300
Essex,0,New York,1,,0,,Essex New York,36031,39370,40
Herkimer,0,New York,1,,0,,Herkimer New York,36043,64519,25
Sullivan,0,New York,1,,0,,Sullivan New York,36105,77547,169
Broome,0,New York,1,,0,,Broome New York,36007,200600,742
Wyoming,0,New York,1,,0,,Wyoming New York,36121,42155,62
Genesee,0,New York,1,,0,,Genesee New York,36037,60079,131
Warren,0,New York,1,1,0,,Warren New York,36113,65707,410
Washington,0,New York,1,1,0,,Washington New York,36115,63216,0
Hamilton,0,New York,1,1,0,,Hamilton New York,36041,4836,0
Chenango,0,New York,1,1,0,,Chenango New York,36017,50477,58
Unassigned,2,New York,0,,3,3,Unassigned New York,#N/A,#N/A,#N/A
Washington state,1,Washington,1187,175,68,13,Washington state Washington,#N/A,#N/A,#N/A
King,0,Washington,562,,56,10,King Washington,53033,1931249,5433
Snohomish,0,Washington,310,44,6,,Snohomish Washington,53061,713335,786
Unassigned,2,Washington,164,102,0,,Unassigned Washington,#N/A,#N/A,#N/A
Pierce,0,Washington,56,11,1,1,Pierce Washington,53053,795225,2408
Island,0,Washington,16,2,0,,Island Washington,53029,78506,76
Skagit,0,Washington,14,5,0,,Skagit Washington,53057,116901,205
Kitsap,0,Washington,9,2,0,,Kitsap Washington,53035,251133,381
Grant,0,Washington,8,1,1,,Grant Washington,53025,89120,186
Yakima,0,Washington,7,2,0,,Yakima Washington,53077,243231,528
Whatcom,0,Washington,7,1,0,,Whatcom Washington,53073,201140,253
Thurston,0,Washington,6,1,0,,Thurston Washington,53067,252264,474
