LOCATION,IF_INCLUDE,IF_NAME_ERROR,STATE,COMFIRMED_COMFIRMED,ADDED,DEATH,DEATH_ADDED,CONCA,GEOID,Pop,HospitalBeds
category New York,1,#N/A,New York,26374,4647,271,87,category New York New York,#N/A,#N/A,#N/A
New York,0,#N/A,New York,15597,2478,192,67,New York New York,360000,8175133,24245
Westchester,0,#N/A,New York,3891,997,,,Westchester New York,36119,949113,3235
Nassau,0,#N/A,New York,2869,427,,,Nassau New York,36059,1339532,4181
Suffolk,0,#N/A,New York,1880,422,,4,Suffolk New York,36103,1493350,3583
Rockland,0,#N/A,New York,671,79,,,Rockland New York,36087,311687,791
Orange,0,#N/A,New York,498,109,,,Orange New York,36071,372813,902
Albany,0,#N/A,New York,146,19,,,Albany New York,36001,304204,1381
Dutchess,0,#N/A,New York,124,24,,,Dutchess New York,36027,297488,676
Erie,0,#N/A,New York,114,13,,,Erie New York,36029,919040,2788
Monroe,0,#N/A,New York,106,25,,1,Monroe New York,36055,744344,2009
Putnam,0,#N/A,New York,82,37,,,Putnam New York,36079,99710,164
Onondaga,0,#N/A,New York,60,7,,1,Onondaga New York,36067,467026,1672
Saratoga,0,#N/A,New York,53,,,,Saratoga New York,36091,219607,259
Schenectady,0,#N/A,New York,44,,,,Schenectady New York,36093,154727,538
Ulster,0,#N/A,New York,35,,,,Ulster New York,36111,182493,325
Rensselaer,0,#N/A,New York,33,,,,Rensselaer New York,36083,159429,423
Sullivan,0,#N/A,New York,23,,,,Sullivan New York,36105,77547,169
Columbia,0,#N/A,New York,18,1,,,Columbia New York,36021,63096,192
Tompkins,0,#N/A,New York,16,1,,,Tompkins New York,36109,101564,212
Oneida,0,#N/A,New York,10,,,,Oneida New York,36065,234878,725
Niagara,0,#N/A,New York,10,,,,Niagara New York,36063,216469,623
Broome,0,#N/A,New York,9,2,,,Broome New York,36007,200600,742
Steuben,0,#N/A,New York,8,3,,,Steuben New York,36101,98990,115
Ontario,0,#N/A,New York,6,,,,Ontario New York,36069,107931,399
Clinton,0,#N/A,New York,6,,,,Clinton New York,36019,82128,300
Wayne,0,#N/A,New York,6,,,,Wayne New York,36117,93772,120
Wyoming,0,#N/A,New York,4,,,,Wyoming New York,36121,42155,62
Greene,0,#N/A,New York,4,,,,Greene New York,36039,49221,0
Herkimer,0,#N/A,New York,4,,,,Herkimer New York,36043,64519,25
Madison,0,#N/A,New York,4,,,,Madison New York,36053,73442,126
Livingston,0,#N/A,New York,3,,,,Livingston New York,36051,65393,67
Chemung,0,#N/A,New York,3,1,,,Chemung New York,36015,88830,391
Delaware,0,#N/A,New York,3,,,,Delaware New York,36025,47980,67
Washington,0,#N/A,New York,3,,,,Washington New York,36115,63216,0
Essex,0,#N/A,New York,3,,,,Essex New York,36031,39370,40
Chenango,0,#N/A,New York,3,,,,Chenango New York,36017,50477,58
Montgomery,0,#N/A,New York,3,,,,Montgomery New York,36057,50219,130
Chautauqua,0,#N/A,New York,2,2,,,Chautauqua New York,36013,134905,399
Warren,0,#N/A,New York,2,,,,Warren New York,36113,65707,410
Jefferson,0,#N/A,New York,2,,,,Jefferson New York,36045,116229,344
Cortland,0,#N/A,New York,2,,,,Cortland New York,36023,49336,162
Hamilton,0,#N/A,New York,2,,,,Hamilton New York,36041,4836,0
Oswego,0,#N/A,New York,2,,,,Oswego New York,36075,122109,158
Allegany,0,#N/A,New York,2,,,,Allegany New York,36003,48946,76
Cayuga,0,#N/A,New York,2,,,,Cayuga New York,36011,80026,99
Genesee,0,#N/A,New York,1,,,,Genesee New York,36037,60079,131
Fulton,0,#N/A,New York,1,,,,Fulton New York,36035,55531,74
Tioga,0,#N/A,New York,1,,,,Tioga New York,36107,51125,0
Otsego,0,#N/A,New York,1,,,,Otsego New York,36077,62259,240
Schoharie,0,#N/A,New York,1,,,,Schoharie New York,36095,32749,40
St. Lawrence,0,#N/A,New York,1,,,,St. Lawrence New York,36089,111944,319
Unassigned,2,#N/A,New York,0,,,14,Unassigned New York,#N/A,#N/A,#N/A
category New Jersey,1,#N/A,New Jersey,3675,831,,17,category New Jersey New Jersey,#N/A,#N/A,#N/A
Bergen,0,#N/A,New Jersey,701,92,,,Bergen New Jersey,34003,905116,3019
Unassigned,2,#N/A,New Jersey,645,226,,17,Unassigned New Jersey,#N/A,#N/A,#N/A
Essex,0,#N/A,New Jersey,342,69,,,Essex New Jersey,34013,783969,4007
Monmouth,0,#N/A,New Jersey,288,50,,,Monmouth New Jersey,34025,630380,2176
Middlesex,0,#N/A,New Jersey,277,67,,,Middlesex New Jersey,34023,809858,2657
Union,0,#N/A,New Jersey,246,57,,,Union New Jersey,34039,536499,1521
Hudson,0,#N/A,New Jersey,234,44,,,Hudson New Jersey,34017,634266,1878
Passaic,0,#N/A,New Jersey,216,75,,,Passaic New Jersey,34031,501226,1187
Morris,0,#N/A,New Jersey,204,27,,,Morris New Jersey,34027,492276,2005
Ocean,0,#N/A,New Jersey,180,36,,,Ocean New Jersey,34029,576567,1522
Somerset,0,#N/A,New Jersey,102,35,,,Somerset New Jersey,34035,323444,759
Mercer,0,#N/A,New Jersey,58,8,,,Mercer New Jersey,34021,366513,1690
Camden,0,#N/A,New Jersey,51,18,,,Camden New Jersey,34007,513657,2518
Burlington,0,#N/A,New Jersey,42,6,,,Burlington New Jersey,34005,448734,1112
Hunterdon,0,#N/A,New Jersey,25,7,,,Hunterdon New Jersey,34019,128349,184
Gloucester,0,#N/A,New Jersey,19,6,,,Gloucester New Jersey,34015,288288,609
Sussex,0,#N/A,New Jersey,18,3,,,Sussex New Jersey,34037,149265,146
Warren,0,#N/A,New Jersey,15,3,,,Warren New Jersey,34041,108692,309
Atlantic,0,#N/A,New Jersey,6,,,,Atlantic New Jersey,34001,274549,1414
Cape May,0,#N/A,New Jersey,3,1,,,Cape May New Jersey,34009,97265,242
Cumberland,0,#N/A,New Jersey,2,1,,,Cumberland New Jersey,34011,156898,511
Salem,0,#N/A,New Jersey,1,,,,Salem New Jersey,34033,66083,222
category California,1,#N/A,California,2539,311,,8,category California California,#N/A,#N/A,#N/A
Los Angeles,0,#N/A,California,662,122,,3,Los Angeles California,06037,9818605,28383
Santa Clara,0,#N/A,California,375,54,,3,Santa Clara California,06085,1781642,3831
San Diego,0,#N/A,California,226,,,,San Diego California,06073,3095313,7623
San Mateo,0,#N/A,California,161,19,,,San Mateo California,06081,718451,1781
San Francisco,0,#N/A,California,152,21,,1,San Francisco California,06075,805235,4733
Orange,0,#N/A,California,152,27,,,Orange California,06059,3010232,7902
Alameda,0,#N/A,California,135,13,,1,Alameda California,06001,1510271,3833
Sacramento,0,#N/A,California,88,,,,Sacramento California,06067,1418788,3500
Contra Costa,0,#N/A,California,86,15,,,Contra Costa California,06013,1049025,1804
Riverside,0,#N/A,California,57,11,,,Riverside California,06065,2189641,3945
San Joaquin,0,#N/A,California,51,,,,San Joaquin California,06077,685306,1256
Marin,0,#N/A,California,47,,,,Marin California,06041,252409,458
San Luis Obispo,0,#N/A,California,42,9,,,San Luis Obispo California,06079,269637,1747
Ventura,0,#N/A,California,35,,,,Ventura California,06111,823318,1660
San Bernardino,0,#N/A,California,31,14,,,San Bernardino California,06071,2035210,5906
Sonoma,0,#N/A,California,29,,,,Sonoma California,06097,483878,1956
Santa Cruz,0,#N/A,California,22,,,,Santa Cruz California,06087,262382,375
Solano,0,#N/A,California,21,,,,Solano California,06095,413344,749
Monterey,0,#N/A,California,20,,,,Monterey California,06053,415057,793
Placer,0,#N/A,California,20,,,,Placer California,06061,348432,748
Santa Barbara,0,#N/A,California,18,,,,Santa Barbara California,06083,423895,1054
Tulare,0,#N/A,California,17,1,,,Tulare California,06107,442179,2086
Fresno,0,#N/A,California,13,,,,Fresno California,06019,930450,3551
Kern,0,#N/A,California,13,,,,Kern California,06029,839631,1833
Stanislaus,0,#N/A,California,11,1,,,Stanislaus California,06099,514453,1584
Yolo,0,#N/A,California,8,,,,Yolo California,06113,200849,156
San Benito,0,#N/A,California,6,,,,San Benito California,06069,55269,181
Madera,0,#N/A,California,6,,,,Madera California,06039,150865,462
Imperial,0,#N/A,California,6,,,,Imperial California,06025,174528,268
Humboldt,0,#N/A,California,4,2,,,Humboldt California,06023,134623,299
Nevada,0,#N/A,California,3,,,,Nevada California,06057,98764,176
Yuba,0,#N/A,California,3,,,,Yuba California,06115,72155,173
Mendocino,0,#N/A,California,2,1,,,Mendocino California,06045,87841,141
Calaveras,0,#N/A,California,2,,,,Calaveras California,06009,45578,48
Amador,0,#N/A,California,2,,,,Amador California,06005,38091,52
El Dorado,0,#N/A,California,2,,,,El Dorado California,06017,181058,240
Mono,0,#N/A,California,2,1,,,Mono California,06051,14202,17
Siskiyou,0,#N/A,California,2,,,,Siskiyou California,06093,44900,61
Shasta,0,#N/A,California,2,,,,Shasta California,06089,177223,748
Butte,0,#N/A,California,2,,,,Butte California,06007,220000,592
Napa,0,#N/A,California,2,,,,Napa California,06055,136484,1780
Merced,0,#N/A,California,1,,,,Merced California,06047,255793,246
category Washington,1,#N/A,Washington,2469,248,,13,category Washington Washington,#N/A,#N/A,#N/A
King,0,#N/A,Washington,1277,107,,7,King Washington,53033,1931249,5433
Snohomish,0,#N/A,Washington,614,95,,5,Snohomish Washington,53061,713335,786
Pierce,0,#N/A,Washington,138,,,,Pierce Washington,53053,795225,2408
Whatcom,0,#N/A,Washington,64,,,,Whatcom Washington,53073,201140,253
Unassigned,2,#N/A,Washington,51,,,,Unassigned Washington,#N/A,#N/A,#N/A
Skagit,0,#N/A,Washington,48,3,,,Skagit Washington,53057,116901,205
Yakima,0,#N/A,Washington,44,,,,Yakima Washington,53077,243231,528
Island,0,#N/A,Washington,38,,,,Island Washington,53029,78506,76
Spokane,0,#N/A,Washington,33,4,,,Spokane Washington,53063,471221,1847
Grant,0,#N/A,Washington,27,4,,,Grant Washington,53025,89120,186
Kitsap,0,#N/A,Washington,20,2,,,Kitsap Washington,53035,251133,381
Kittitas,0,#N/A,Washington,18,13,,,Kittitas Washington,53037,40915,25
Clark,0,#N/A,Washington,16,3,,,Clark Washington,53011,425363,580
Thurston,0,#N/A,Washington,14,3,,,Thurston Washington,53067,252264,474
Benton,0,#N/A,Washington,12,3,,,Benton Washington,53005,175177,447
Chelan,0,#N/A,Washington,10,4,,1,Chelan Washington,53007,72453,251
Jefferson,0,#N/A,Washington,9,,,,Jefferson Washington,53031,29872,25
Franklin,0,#N/A,Washington,7,2,,,Franklin Washington,53021,78163,106
Klickitat,0,#N/A,Washington,6,2,,,Klickitat Washington,53039,20318,42
Clallam,0,#N/A,Washington,4,,,,Clallam Washington,53009,71404,163
Cowlitz,0,#N/A,Washington,3,,,,Cowlitz Washington,53015,102410,202
Lewis,0,#N/A,Washington,2,,,,Lewis Washington,53041,75455,125
Mason,0,#N/A,Washington,2,1,,,Mason Washington,53045,60699,25
Douglas,0,#N/A,Washington,2,1,,,Douglas Washington,53017,38431,0
Whitman,0,#N/A,Washington,2,,,,Whitman Washington,53075,44776,50
Walla Walla,0,#N/A,Washington,2,1,,,Walla Walla Washington,53071,58781,316
Stevens,0,#N/A,Washington,1,,,,Stevens Washington,53065,43531,90
San Juan,0,#N/A,Washington,1,,,,San Juan Washington,53055,15769,25
Columbia,0,#N/A,Washington,1,,,,Columbia Washington,53013,4078,25
Grays Harbor,0,#N/A,Washington,1,,,,Grays Harbor Washington,53027,72797,130
Adams,0,#N/A,Washington,1,,,,Adams Washington,53001,18728,57
Lincoln,0,#N/A,Washington,1,,,,Lincoln Washington,53043,10570,85
category Michigan,1,#N/A,Michigan,1795,463,,6,category Michigan Michigan,#N/A,#N/A,#N/A
Wayne,0,#N/A,Michigan,876,238,,5,Wayne Michigan,26163,1820584,6009
Oakland,0,#N/A,Michigan,428,99,,,Oakland Michigan,26125,1202362,4435
Macomb,0,#N/A,Michigan,225,50,,1,Macomb Michigan,26099,840978,1119
Washtenaw,0,#N/A,Michigan,50,8,,,Washtenaw Michigan,26161,344791,1719
